ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
1301,極洋,https://www.kyokuyo.co.jp/,極洋,current,,,,,,,,,photos_1/1301_極洋/current/photo_01.jpg,1,current
1301,極洋,https://www.kyokuyo.co.jp/,二村雄三,prev_1,,2004-06-29,,,,,,,photos_1/1301_極洋/history/01_二村雄三/photo_01.jpg,1,history
1301,極洋,https://www.kyokuyo.co.jp/,福井清計,prev_2,2004-06-29,2011-04-01,,,,,,6.75,photos_1/1301_極洋/history/02_福井清計/photo_01.jpg,1,history
1301,極洋,https://www.kyokuyo.co.jp/,多田久樹,prev_3,2011-04-01,2016-06-24,,,,,,5.23,photos_1/1301_極洋/history/03_多田久樹/photo_01.jpg,1,history
1301,極洋,https://www.kyokuyo.co.jp/,今井賢司,prev_4,2016-06-24,2018-06-26,,,,,,2.0,photos_1/1301_極洋/history/04_今井賢司/photo_01.jpg,1,history
1301,極洋,https://www.kyokuyo.co.jp/,井上誠,prev_5,2018-06-26,,,,,,,,photos_1/1301_極洋/history/05_井上誠/photo_01.jpg,1,history
1332,ニッスイ,https://www.nissui.co.jp/,"氏名
地位",current,,,,,,,,,"photos_1/1332_ニッスイ/current/photo_01.jpg,photos_1/1332_ニッスイ/current/photo_02.jpg,photos_1/1332_ニッスイ/current/photo_03.jpg,photos_1/1332_ニッスイ/current/photo_04.jpg,photos_1/1332_ニッスイ/current/photo_05.jpg",5,current
1332,ニッスイ,https://www.nissui.co.jp/,垣添直也,prev_1,1999-06-29,2012-06-01,,,,,,12.93,photos_1/1332_ニッスイ/history/01_垣添直也/photo_01.jpg,1,history
1332,ニッスイ,https://www.nissui.co.jp/,細見典男,prev_2,2012-06-01,2017-06-28,,,,,,5.07,photos_1/1332_ニッスイ/history/02_細見典男/photo_01.jpg,1,history
1332,ニッスイ,https://www.nissui.co.jp/,大木伸介,prev_3,2017-06-28,2018-03-15,,,,,,0.71,photos_1/1332_ニッスイ/history/03_大木伸介/photo_01.jpg,1,history
1332,ニッスイ,https://www.nissui.co.jp/,的埜明世,prev_4,2018-03-15,2021-06-25,,,,,,3.28,photos_1/1332_ニッスイ/history/04_的埜明世/photo_01.jpg,1,history
1332,ニッスイ,https://www.nissui.co.jp/,浜田晋吾,prev_5,2021-06-25,2025-05-14,,,,,,3.89,photos_1/1332_ニッスイ/history/05_浜田晋吾/photo_01.jpg,1,history
1332,ニッスイ,https://www.nissui.co.jp/,田中輝,prev_6,2025-05-14,,,,,,,,photos_1/1332_ニッスイ/history/06_田中輝/photo_01.jpg,1,history
